"question","option_a","option_b","option_c","correct_answer"
"Khi bắt đầu một dự án mới: Trang quan trọng bị chặn crawl nên kiểm tra gì?","Quy tắc robots và khả năng truy cập URL","Màu nút mua hàng","Ảnh đại diện người biên soạn chương trình học","A"
"Khi bắt đầu một dự án mới: Một đoạn anchor text hữu ích nên thế nào?","Cho biết đích liên kết nói về gì","Luôn là cùng một từ chung chung","Không liên quan nội dung đích","A"
"Khi bắt đầu một dự án mới: Khi đánh giá hiệu quả SEO, cần gắn chỉ số với gì?","Mục tiêu kinh doanh và nhu cầu người dùng","Chỉ số lượt xem bất kỳ","Số lượng tab trình duyệt","A"
"Khi rà soát kết quả tháng đầu: SEO giúp người dùng và công cụ tìm kiếm làm gì?","Tìm và hiểu nội dung hữu ích","Mua vị trí xếp hạng tự nhiên","Ẩn toàn bộ trang khỏi tìm kiếm","A"
"Khi rà soát kết quả tháng đầu: Sitemap XML hỗ trợ việc gì?","Giúp công cụ tìm kiếm khám phá URL quan trọng","Bảo đảm mọi URL đứng đầu","Thay thế hoàn toàn liên kết nội bộ","A"
"Khi rà soát kết quả tháng đầu: Thẻ title nên phục vụ mục đích gì?","Mô tả chính xác nội dung trang","Lặp từ khóa càng nhiều càng tốt","Ẩn chủ đề chính của trang","A"
"Khi rà soát kết quả tháng đầu: Nội dung hữu ích ưu tiên ai?","Người đọc có nhu cầu thực","Thuật toán thay cho người đọc","Chỉ người viết nội dung","A"
"Khi rà soát kết quả tháng đầu: Liên kết nội bộ tốt giúp ích gì?","Giúp người dùng và crawler tìm trang liên quan","Tự động tăng ngân sách quảng cáo","Chặn trang đích khỏi index","A"
"Khi rà soát kết quả tháng đầu: Một URL không muốn xuất hiện trong kết quả tìm kiếm nên dùng gì?","Chỉ thị noindex phù hợp","Chỉ tăng số từ trên trang","Thêm nhiều quảng cáo","A"
"Khi rà soát kết quả tháng đầu: Vì sao cần kiểm tra trang có được index?","Để phân biệt lỗi khám phá với lỗi xếp hạng","Để thay thế nghiên cứu người dùng","Để bỏ qua nội dung trang","A"
"Khi rà soát kết quả tháng đầu: Alt text của ảnh nên làm gì?","Mô tả nội dung ảnh trong ngữ cảnh","Nhồi mọi từ khóa có thể","Để trống cho mọi ảnh có ý nghĩa","A"
"Khi rà soát kết quả tháng đầu: Khi đổi URL quan trọng nên làm gì?","Thiết lập chuyển hướng phù hợp","Xóa mọi liên kết đến trang cũ","Giữ hai bản trùng lặp mãi mãi","A"
"Khi rà soát kết quả tháng đầu: Canonical được dùng để làm gì?","Báo phiên bản URL đại diện khi nội dung trùng","Đặt giá thầu quảng cáo","Tạo chứng chỉ khóa học","A"
"Khi rà soát kết quả tháng đầu: Từ khóa nên được chọn dựa trên điều gì?","Nhu cầu tìm kiếm và chủ đề thực của trang","Mật độ lặp từ khóa cố định","Độ dài tên miền","A"
"Khi rà soát kết quả tháng đầu: Khi viết mô tả cho trang sản phẩm, ưu tiên gì?","Thông tin cụ thể giúp người mua quyết định","Văn bản sao chép hàng loạt","Chỉ liệt kê từ khóa","A"
"Khi rà soát kết quả tháng đầu: Cấu trúc heading tốt giúp gì?","Giúp người đọc quét và hiểu các phần","Tự tạo backlink","Bỏ qua nội dung chính","A"
"Khi rà soát kết quả tháng đầu: Vì sao trang di động cần dễ dùng?","Người dùng cần trải nghiệm rõ ràng trên thiết bị của họ","Vì chỉ trang desktop được index","Vì quảng cáo luôn miễn phí","A"
"Khi rà soát kết quả tháng đầu: Dữ liệu Search Console giúp kiểm tra điều gì?","Hiệu suất và trạng thái hiện diện trên Google Search","Doanh thu mọi kênh không cần cấu hình","Số lượng đơn hàng trong CRM","A"
"Khi rà soát kết quả tháng đầu: Khi traffic organic giảm, bước đầu hợp lý là gì?","Đối chiếu trang, truy vấn và thời điểm thay đổi","Viết lại toàn bộ website ngay","Xóa tài khoản Search Console","A"
"Khi rà soát kết quả tháng đầu: Nội dung cập nhật nên dựa trên điều gì?","Thông tin mới thực sự giúp người đọc","Chỉ đổi ngày xuất bản","Chỉ thêm số từ","A"
"Khi rà soát kết quả tháng đầu: Trang quan trọng bị chặn crawl nên kiểm tra gì?","Quy tắc robots và khả năng truy cập URL","Màu nút mua hàng","Ảnh đại diện người biên soạn chương trình học","A"
"Khi rà soát kết quả tháng đầu: Một đoạn anchor text hữu ích nên thế nào?","Cho biết đích liên kết nói về gì","Luôn là cùng một từ chung chung","Không liên quan nội dung đích","A"
"Khi rà soát kết quả tháng đầu: Khi đánh giá hiệu quả SEO, cần gắn chỉ số với gì?","Mục tiêu kinh doanh và nhu cầu người dùng","Chỉ số lượt xem bất kỳ","Số lượng tab trình duyệt","A"
"Khi hướng dẫn một đồng nghiệp: SEO giúp người dùng và công cụ tìm kiếm làm gì?","Tìm và hiểu nội dung hữu ích","Mua vị trí xếp hạng tự nhiên","Ẩn toàn bộ trang khỏi tìm kiếm","A"
"Khi hướng dẫn một đồng nghiệp: Sitemap XML hỗ trợ việc gì?","Giúp công cụ tìm kiếm khám phá URL quan trọng","Bảo đảm mọi URL đứng đầu","Thay thế hoàn toàn liên kết nội bộ","A"
"Khi hướng dẫn một đồng nghiệp: Thẻ title nên phục vụ mục đích gì?","Mô tả chính xác nội dung trang","Lặp từ khóa càng nhiều càng tốt","Ẩn chủ đề chính của trang","A"
"Khi hướng dẫn một đồng nghiệp: Nội dung hữu ích ưu tiên ai?","Người đọc có nhu cầu thực","Thuật toán thay cho người đọc","Chỉ người viết nội dung","A"
"Khi hướng dẫn một đồng nghiệp: Liên kết nội bộ tốt giúp ích gì?","Giúp người dùng và crawler tìm trang liên quan","Tự động tăng ngân sách quảng cáo","Chặn trang đích khỏi index","A"
"Khi hướng dẫn một đồng nghiệp: Một URL không muốn xuất hiện trong kết quả tìm kiếm nên dùng gì?","Chỉ thị noindex phù hợp","Chỉ tăng số từ trên trang","Thêm nhiều quảng cáo","A"
"Khi hướng dẫn một đồng nghiệp: Vì sao cần kiểm tra trang có được index?","Để phân biệt lỗi khám phá với lỗi xếp hạng","Để thay thế nghiên cứu người dùng","Để bỏ qua nội dung trang","A"
"Khi hướng dẫn một đồng nghiệp: Alt text của ảnh nên làm gì?","Mô tả nội dung ảnh trong ngữ cảnh","Nhồi mọi từ khóa có thể","Để trống cho mọi ảnh có ý nghĩa","A"
"Khi hướng dẫn một đồng nghiệp: Khi đổi URL quan trọng nên làm gì?","Thiết lập chuyển hướng phù hợp","Xóa mọi liên kết đến trang cũ","Giữ hai bản trùng lặp mãi mãi","A"
"Khi hướng dẫn một đồng nghiệp: Canonical được dùng để làm gì?","Báo phiên bản URL đại diện khi nội dung trùng","Đặt giá thầu quảng cáo","Tạo chứng chỉ khóa học","A"
"Khi hướng dẫn một đồng nghiệp: Từ khóa nên được chọn dựa trên điều gì?","Nhu cầu tìm kiếm và chủ đề thực của trang","Mật độ lặp từ khóa cố định","Độ dài tên miền","A"
"Khi hướng dẫn một đồng nghiệp: Khi viết mô tả cho trang sản phẩm, ưu tiên gì?","Thông tin cụ thể giúp người mua quyết định","Văn bản sao chép hàng loạt","Chỉ liệt kê từ khóa","A"
"Khi hướng dẫn một đồng nghiệp: Cấu trúc heading tốt giúp gì?","Giúp người đọc quét và hiểu các phần","Tự tạo backlink","Bỏ qua nội dung chính","A"
"Khi hướng dẫn một đồng nghiệp: Vì sao trang di động cần dễ dùng?","Người dùng cần trải nghiệm rõ ràng trên thiết bị của họ","Vì chỉ trang desktop được index","Vì quảng cáo luôn miễn phí","A"
"Khi hướng dẫn một đồng nghiệp: Dữ liệu Search Console giúp kiểm tra điều gì?","Hiệu suất và trạng thái hiện diện trên Google Search","Doanh thu mọi kênh không cần cấu hình","Số lượng đơn hàng trong CRM","A"
"Khi hướng dẫn một đồng nghiệp: Khi traffic organic giảm, bước đầu hợp lý là gì?","Đối chiếu trang, truy vấn và thời điểm thay đổi","Viết lại toàn bộ website ngay","Xóa tài khoản Search Console","A"
"Khi hướng dẫn một đồng nghiệp: Nội dung cập nhật nên dựa trên điều gì?","Thông tin mới thực sự giúp người đọc","Chỉ đổi ngày xuất bản","Chỉ thêm số từ","A"
"Khi hướng dẫn một đồng nghiệp: Trang quan trọng bị chặn crawl nên kiểm tra gì?","Quy tắc robots và khả năng truy cập URL","Màu nút mua hàng","Ảnh đại diện người biên soạn chương trình học","A"
"Khi hướng dẫn một đồng nghiệp: Một đoạn anchor text hữu ích nên thế nào?","Cho biết đích liên kết nói về gì","Luôn là cùng một từ chung chung","Không liên quan nội dung đích","A"
"Khi hướng dẫn một đồng nghiệp: Khi đánh giá hiệu quả SEO, cần gắn chỉ số với gì?","Mục tiêu kinh doanh và nhu cầu người dùng","Chỉ số lượt xem bất kỳ","Số lượng tab trình duyệt","A"
"Khi xử lý một chiến dịch đang chậm tiến độ: SEO giúp người dùng và công cụ tìm kiếm làm gì?","Tìm và hiểu nội dung hữu ích","Mua vị trí xếp hạng tự nhiên","Ẩn toàn bộ trang khỏi tìm kiếm","A"
"Khi xử lý một chiến dịch đang chậm tiến độ: Sitemap XML hỗ trợ việc gì?","Giúp công cụ tìm kiếm khám phá URL quan trọng","Bảo đảm mọi URL đứng đầu","Thay thế hoàn toàn liên kết nội bộ","A"
"Khi xử lý một chiến dịch đang chậm tiến độ: Thẻ title nên phục vụ mục đích gì?","Mô tả chính xác nội dung trang","Lặp từ khóa càng nhiều càng tốt","Ẩn chủ đề chính của trang","A"
"Khi xử lý một chiến dịch đang chậm tiến độ: Nội dung hữu ích ưu tiên ai?","Người đọc có nhu cầu thực","Thuật toán thay cho người đọc","Chỉ người viết nội dung","A"
"Khi xử lý một chiến dịch đang chậm tiến độ: Liên kết nội bộ tốt giúp ích gì?","Giúp người dùng và crawler tìm trang liên quan","Tự động tăng ngân sách quảng cáo","Chặn trang đích khỏi index","A"
"Khi xử lý một chiến dịch đang chậm tiến độ: Một URL không muốn xuất hiện trong kết quả tìm kiếm nên dùng gì?","Chỉ thị noindex phù hợp","Chỉ tăng số từ trên trang","Thêm nhiều quảng cáo","A"
"Khi xử lý một chiến dịch đang chậm tiến độ: Vì sao cần kiểm tra trang có được index?","Để phân biệt lỗi khám phá với lỗi xếp hạng","Để thay thế nghiên cứu người dùng","Để bỏ qua nội dung trang","A"
"Khi xử lý một chiến dịch đang chậm tiến độ: Alt text của ảnh nên làm gì?","Mô tả nội dung ảnh trong ngữ cảnh","Nhồi mọi từ khóa có thể","Để trống cho mọi ảnh có ý nghĩa","A"
"Khi xử lý một chiến dịch đang chậm tiến độ: Khi đổi URL quan trọng nên làm gì?","Thiết lập chuyển hướng phù hợp","Xóa mọi liên kết đến trang cũ","Giữ hai bản trùng lặp mãi mãi","A"
"Khi xử lý một chiến dịch đang chậm tiến độ: Canonical được dùng để làm gì?","Báo phiên bản URL đại diện khi nội dung trùng","Đặt giá thầu quảng cáo","Tạo chứng chỉ khóa học","A"
"Khi xử lý một chiến dịch đang chậm tiến độ: Từ khóa nên được chọn dựa trên điều gì?","Nhu cầu tìm kiếm và chủ đề thực của trang","Mật độ lặp từ khóa cố định","Độ dài tên miền","A"
"Khi xử lý một chiến dịch đang chậm tiến độ: Khi viết mô tả cho trang sản phẩm, ưu tiên gì?","Thông tin cụ thể giúp người mua quyết định","Văn bản sao chép hàng loạt","Chỉ liệt kê từ khóa","A"
"Khi xử lý một chiến dịch đang chậm tiến độ: Cấu trúc heading tốt giúp gì?","Giúp người đọc quét và hiểu các phần","Tự tạo backlink","Bỏ qua nội dung chính","A"
"Khi xử lý một chiến dịch đang chậm tiến độ: Vì sao trang di động cần dễ dùng?","Người dùng cần trải nghiệm rõ ràng trên thiết bị của họ","Vì chỉ trang desktop được index","Vì quảng cáo luôn miễn phí","A"
"Khi xử lý một chiến dịch đang chậm tiến độ: Dữ liệu Search Console giúp kiểm tra điều gì?","Hiệu suất và trạng thái hiện diện trên Google Search","Doanh thu mọi kênh không cần cấu hình","Số lượng đơn hàng trong CRM","A"
"Khi xử lý một chiến dịch đang chậm tiến độ: Khi traffic organic giảm, bước đầu hợp lý là gì?","Đối chiếu trang, truy vấn và thời điểm thay đổi","Viết lại toàn bộ website ngay","Xóa tài khoản Search Console","A"
"Khi xử lý một chiến dịch đang chậm tiến độ: Nội dung cập nhật nên dựa trên điều gì?","Thông tin mới thực sự giúp người đọc","Chỉ đổi ngày xuất bản","Chỉ thêm số từ","A"
"Khi xử lý một chiến dịch đang chậm tiến độ: Trang quan trọng bị chặn crawl nên kiểm tra gì?","Quy tắc robots và khả năng truy cập URL","Màu nút mua hàng","Ảnh đại diện người biên soạn chương trình học","A"
"Khi xử lý một chiến dịch đang chậm tiến độ: Một đoạn anchor text hữu ích nên thế nào?","Cho biết đích liên kết nói về gì","Luôn là cùng một từ chung chung","Không liên quan nội dung đích","A"
"Khi xử lý một chiến dịch đang chậm tiến độ: Khi đánh giá hiệu quả SEO, cần gắn chỉ số với gì?","Mục tiêu kinh doanh và nhu cầu người dùng","Chỉ số lượt xem bất kỳ","Số lượng tab trình duyệt","A"
"Khi trình bày kế hoạch với khách hàng: SEO giúp người dùng và công cụ tìm kiếm làm gì?","Tìm và hiểu nội dung hữu ích","Mua vị trí xếp hạng tự nhiên","Ẩn toàn bộ trang khỏi tìm kiếm","A"
"Khi trình bày kế hoạch với khách hàng: Sitemap XML hỗ trợ việc gì?","Giúp công cụ tìm kiếm khám phá URL quan trọng","Bảo đảm mọi URL đứng đầu","Thay thế hoàn toàn liên kết nội bộ","A"
"Khi trình bày kế hoạch với khách hàng: Thẻ title nên phục vụ mục đích gì?","Mô tả chính xác nội dung trang","Lặp từ khóa càng nhiều càng tốt","Ẩn chủ đề chính của trang","A"
"Khi trình bày kế hoạch với khách hàng: Nội dung hữu ích ưu tiên ai?","Người đọc có nhu cầu thực","Thuật toán thay cho người đọc","Chỉ người viết nội dung","A"
"Khi trình bày kế hoạch với khách hàng: Liên kết nội bộ tốt giúp ích gì?","Giúp người dùng và crawler tìm trang liên quan","Tự động tăng ngân sách quảng cáo","Chặn trang đích khỏi index","A"
"Khi trình bày kế hoạch với khách hàng: Một URL không muốn xuất hiện trong kết quả tìm kiếm nên dùng gì?","Chỉ thị noindex phù hợp","Chỉ tăng số từ trên trang","Thêm nhiều quảng cáo","A"
"Khi trình bày kế hoạch với khách hàng: Vì sao cần kiểm tra trang có được index?","Để phân biệt lỗi khám phá với lỗi xếp hạng","Để thay thế nghiên cứu người dùng","Để bỏ qua nội dung trang","A"
"Khi trình bày kế hoạch với khách hàng: Alt text của ảnh nên làm gì?","Mô tả nội dung ảnh trong ngữ cảnh","Nhồi mọi từ khóa có thể","Để trống cho mọi ảnh có ý nghĩa","A"
"Khi trình bày kế hoạch với khách hàng: Khi đổi URL quan trọng nên làm gì?","Thiết lập chuyển hướng phù hợp","Xóa mọi liên kết đến trang cũ","Giữ hai bản trùng lặp mãi mãi","A"
"Khi trình bày kế hoạch với khách hàng: Canonical được dùng để làm gì?","Báo phiên bản URL đại diện khi nội dung trùng","Đặt giá thầu quảng cáo","Tạo chứng chỉ khóa học","A"
"Khi trình bày kế hoạch với khách hàng: Từ khóa nên được chọn dựa trên điều gì?","Nhu cầu tìm kiếm và chủ đề thực của trang","Mật độ lặp từ khóa cố định","Độ dài tên miền","A"
"Khi trình bày kế hoạch với khách hàng: Khi viết mô tả cho trang sản phẩm, ưu tiên gì?","Thông tin cụ thể giúp người mua quyết định","Văn bản sao chép hàng loạt","Chỉ liệt kê từ khóa","A"
"Khi trình bày kế hoạch với khách hàng: Cấu trúc heading tốt giúp gì?","Giúp người đọc quét và hiểu các phần","Tự tạo backlink","Bỏ qua nội dung chính","A"
"Khi trình bày kế hoạch với khách hàng: Vì sao trang di động cần dễ dùng?","Người dùng cần trải nghiệm rõ ràng trên thiết bị của họ","Vì chỉ trang desktop được index","Vì quảng cáo luôn miễn phí","A"
"Khi trình bày kế hoạch với khách hàng: Dữ liệu Search Console giúp kiểm tra điều gì?","Hiệu suất và trạng thái hiện diện trên Google Search","Doanh thu mọi kênh không cần cấu hình","Số lượng đơn hàng trong CRM","A"
"Khi trình bày kế hoạch với khách hàng: Khi traffic organic giảm, bước đầu hợp lý là gì?","Đối chiếu trang, truy vấn và thời điểm thay đổi","Viết lại toàn bộ website ngay","Xóa tài khoản Search Console","A"
"Khi trình bày kế hoạch với khách hàng: Nội dung cập nhật nên dựa trên điều gì?","Thông tin mới thực sự giúp người đọc","Chỉ đổi ngày xuất bản","Chỉ thêm số từ","A"
"Khi trình bày kế hoạch với khách hàng: Trang quan trọng bị chặn crawl nên kiểm tra gì?","Quy tắc robots và khả năng truy cập URL","Màu nút mua hàng","Ảnh đại diện người biên soạn chương trình học","A"
"Khi trình bày kế hoạch với khách hàng: Một đoạn anchor text hữu ích nên thế nào?","Cho biết đích liên kết nói về gì","Luôn là cùng một từ chung chung","Không liên quan nội dung đích","A"
"Khi trình bày kế hoạch với khách hàng: Khi đánh giá hiệu quả SEO, cần gắn chỉ số với gì?","Mục tiêu kinh doanh và nhu cầu người dùng","Chỉ số lượt xem bất kỳ","Số lượng tab trình duyệt","A"
